# Renewables.ninja Heating & cooling demand (Point API) - 51.164, 10.448 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in Europe/Berlin, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": "true", "header": "true", "lat": "51.1638175", "lon": "10.4478313", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "0.3", "cooling_power": "0.15", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "true"}}
time,local_time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,2019-01-01 01:00,2.460,2.460,0
2019-01-01 01:00,2019-01-01 02:00,2.519,2.519,0
2019-01-01 02:00,2019-01-01 03:00,2.550,2.550,0
2019-01-01 03:00,2019-01-01 04:00,2.559,2.559,0
2019-01-01 04:00,2019-01-01 05:00,2.583,2.583,0
2019-01-01 05:00,2019-01-01 06:00,2.659,2.659,0
2019-01-01 06:00,2019-01-01 07:00,2.795,2.795,0
2019-01-01 07:00,2019-01-01 08:00,2.890,2.890,0
2019-01-01 08:00,2019-01-01 09:00,2.926,2.926,0
2019-01-01 09:00,2019-01-01 10:00,2.893,2.893,0
2019-01-01 10:00,2019-01-01 11:00,2.813,2.813,0
2019-01-01 11:00,2019-01-01 12:00,2.735,2.735,0
2019-01-01 12:00,2019-01-01 13:00,2.655,2.655,0
2019-01-01 13:00,2019-01-01 14:00,2.567,2.567,0
2019-01-01 14:00,2019-01-01 15:00,2.509,2.509,0
2019-01-01 15:00,2019-01-01 16:00,2.525,2.525,0
2019-01-01 16:00,2019-01-01 17:00,2.670,2.670,0
2019-01-01 17:00,2019-01-01 18:00,2.922,2.922,0
2019-01-01 18:00,2019-01-01 19:00,2.991,2.991,0
2019-01-01 19:00,2019-01-01 20:00,2.862,2.862,0
2019-01-01 20:00,2019-01-01 21:00,2.778,2.778,0
2019-01-01 21:00,2019-01-01 22:00,2.845,2.845,0
2019-01-01 22:00,2019-01-01 23:00,2.921,2.921,0
2019-01-01 23:00,2019-01-02 00:00,2.939,2.939,0
2019-01-02 00:00,2019-01-02 01:00,3.039,3.039,0
2019-01-02 01:00,2019-01-02 02:00,3.111,3.111,0
2019-01-02 02:00,2019-01-02 03:00,3.147,3.147,0
2019-01-02 03:00,2019-01-02 04:00,3.157,3.157,0
2019-01-02 04:00,2019-01-02 05:00,3.184,3.184,0
2019-01-02 05:00,2019-01-02 06:00,3.274,3.274,0
2019-01-02 06:00,2019-01-02 07:00,3.438,3.438,0
2019-01-02 07:00,2019-01-02 08:00,3.551,3.551,0
2019-01-02 08:00,2019-01-02 09:00,3.590,3.590,0
2019-01-02 09:00,2019-01-02 10:00,3.545,3.545,0
2019-01-02 10:00,2019-01-02 11:00,3.442,3.442,0
2019-01-02 11:00,2019-01-02 12:00,3.340,3.340,0
2019-01-02 12:00,2019-01-02 13:00,3.237,3.237,0
2019-01-02 13:00,2019-01-02 14:00,3.124,3.124,0
2019-01-02 14:00,2019-01-02 15:00,3.047,3.047,0
2019-01-02 15:00,2019-01-02 16:00,3.060,3.060,0
2019-01-02 16:00,2019-01-02 17:00,3.229,3.229,0
2019-01-02 17:00,2019-01-02 18:00,3.526,3.526,0
2019-01-02 18:00,2019-01-02 19:00,3.601,3.601,0
2019-01-02 19:00,2019-01-02 20:00,3.437,3.437,0
2019-01-02 20:00,2019-01-02 21:00,3.327,3.327,0
2019-01-02 21:00,2019-01-02 22:00,3.399,3.399,0
2019-01-02 22:00,2019-01-02 23:00,3.480,3.480,0
2019-01-02 23:00,2019-01-03 00:00,3.491,3.491,0
2019-01-03 00:00,2019-01-03 01:00,3.600,3.600,0
2019-01-03 01:00,2019-01-03 02:00,3.675,3.675,0
2019-01-03 02:00,2019-01-03 03:00,3.706,3.706,0
2019-01-03 03:00,2019-01-03 04:00,3.707,3.707,0
2019-01-03 04:00,2019-01-03 05:00,3.726,3.726,0
2019-01-03 05:00,2019-01-03 06:00,3.821,3.821,0
2019-01-03 06:00,2019-01-03 07:00,3.998,3.998,0
