# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.164, 10.448 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "51.1638175", "lon": "10.4478313", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,4.849
2019-01-01 01:00,2019-01-01 02:00,0,0,0,4.842
2019-01-01 02:00,2019-01-01 03:00,0,0,0,4.820
2019-01-01 03:00,2019-01-01 04:00,0,0,0,4.750
2019-01-01 04:00,2019-01-01 05:00,0,0,0,4.675
2019-01-01 05:00,2019-01-01 06:00,0,0,0,4.548
2019-01-01 06:00,2019-01-01 07:00,0,0,0,4.380
2019-01-01 07:00,2019-01-01 08:00,0,0,0.003,4.301
2019-01-01 08:00,2019-01-01 09:00,0.005,0.001,0.013,4.430
2019-01-01 09:00,2019-01-01 10:00,0.006,0,0.014,4.555
2019-01-01 10:00,2019-01-01 11:00,0.009,0.001,0.019,4.659
2019-01-01 11:00,2019-01-01 12:00,0.007,0,0.016,4.738
2019-01-01 12:00,2019-01-01 13:00,0.011,0.001,0.022,4.803
2019-01-01 13:00,2019-01-01 14:00,0.016,0.001,0.027,4.715
2019-01-01 14:00,2019-01-01 15:00,0.008,0.002,0.016,4.325
2019-01-01 15:00,2019-01-01 16:00,0,0,0,3.747
2019-01-01 16:00,2019-01-01 17:00,0,0,0,3.308
2019-01-01 17:00,2019-01-01 18:00,0,0,0,2.969
2019-01-01 18:00,2019-01-01 19:00,0,0,0,2.489
2019-01-01 19:00,2019-01-01 20:00,0,0,0,2.015
2019-01-01 20:00,2019-01-01 21:00,0,0,0,1.454
2019-01-01 21:00,2019-01-01 22:00,0,0,0,0.904
2019-01-01 22:00,2019-01-01 23:00,0,0,0,0.452
2019-01-01 23:00,2019-01-02 00:00,0,0,0,0.357
2019-01-02 00:00,2019-01-02 01:00,0,0,0,0.555
2019-01-02 01:00,2019-01-02 02:00,0,0,0,0.987
2019-01-02 02:00,2019-01-02 03:00,0,0,0,1.327
2019-01-02 03:00,2019-01-02 04:00,0,0,0,1.322
2019-01-02 04:00,2019-01-02 05:00,0,0,0,1.034
2019-01-02 05:00,2019-01-02 06:00,0,0,0,0.730
2019-01-02 06:00,2019-01-02 07:00,0,0,0,0.393
2019-01-02 07:00,2019-01-02 08:00,0.008,0.011,0.007,-0.010
2019-01-02 08:00,2019-01-02 09:00,0.179,0.150,0.046,0.209
2019-01-02 09:00,2019-01-02 10:00,0.361,0.326,0.064,0.767
2019-01-02 10:00,2019-01-02 11:00,0.422,0.382,0.076,1.168
2019-01-02 11:00,2019-01-02 12:00,0.364,0.305,0.090,1.340
2019-01-02 12:00,2019-01-02 13:00,0.321,0.263,0.084,1.320
2019-01-02 13:00,2019-01-02 14:00,0.237,0.192,0.066,1.005
2019-01-02 14:00,2019-01-02 15:00,0.081,0.065,0.032,0.219
2019-01-02 15:00,2019-01-02 16:00,0,0.001,0.001,-0.769
2019-01-02 16:00,2019-01-02 17:00,0,0,0,-1.301
2019-01-02 17:00,2019-01-02 18:00,0,0,0,-1.895
2019-01-02 18:00,2019-01-02 19:00,0,0,0,-2.595
2019-01-02 19:00,2019-01-02 20:00,0,0,0,-3.279
2019-01-02 20:00,2019-01-02 21:00,0,0,0,-3.555
2019-01-02 21:00,2019-01-02 22:00,0,0,0,-3.572
2019-01-02 22:00,2019-01-02 23:00,0,0,0,-3.651
2019-01-02 23:00,2019-01-03 00:00,0,0,0,-3.889
2019-01-03 00:00,2019-01-03 01:00,0,0,0,-4.088
2019-01-03 01:00,2019-01-03 02:00,0,0,0,-4.249
2019-01-03 02:00,2019-01-03 03:00,0,0,0,-4.319
2019-01-03 03:00,2019-01-03 04:00,0,0,0,-4.235
2019-01-03 04:00,2019-01-03 05:00,0,0,0,-4.100
2019-01-03 05:00,2019-01-03 06:00,0,0,0,-3.752
2019-01-03 06:00,2019-01-03 07:00,0,0,0,-3.300
2019-01-03 07:00,2019-01-03 08:00,0.005,0.006,0.007,-2.777
2019-01-03 08:00,2019-01-03 09:00,0.084,0.051,0.049,-1.539
2019-01-03 09:00,2019-01-03 10:00,0.156,0.089,0.085,-0.363
2019-01-03 10:00,2019-01-03 11:00,0.168,0.084,0.102,0.511
2019-01-03 11:00,2019-01-03 12:00,0.268,0.182,0.109,1.119
2019-01-03 12:00,2019-01-03 13:00,0.286,0.216,0.094,1.229
2019-01-03 13:00,2019-01-03 14:00,0.214,0.162,0.072,0.876
2019-01-03 14:00,2019-01-03 15:00,0.055,0.038,0.033,-0.321
2019-01-03 15:00,2019-01-03 16:00,0,0,0.001,-1.139
2019-01-03 16:00,2019-01-03 17:00,0,0,0,-1.223
2019-01-03 17:00,2019-01-03 18:00,0,0,0,-1.170
2019-01-03 18:00,2019-01-03 19:00,0,0,0,-1.076
2019-01-03 19:00,2019-01-03 20:00,0,0,0,-1.292
2019-01-03 20:00,2019-01-03 21:00,0,0,0,-1.688
2019-01-03 21:00,2019-01-03 22:00,0,0,0,-1.734
2019-01-03 22:00,2019-01-03 23:00,0,0,0,-1.852
2019-01-03 23:00,2019-01-04 00:00,0,0,0,-2.082
2019-01-04 00:00,2019-01-04 01:00,0,0,0,-2.368
2019-01-04 01:00,2019-01-04 02:00,0,0,0,-2.533
2019-01-04 02:00,2019-01-04 03:00,0,0,0,-2.686
2019-01-04 03:00,2019-01-04 04:00,0,0,0,-2.407
2019-01-04 04:00,2019-01-04 05:00,0,0,0,-2.269
2019-01-04 05:00,2019-01-04 06:00,0,0,0,-2.285
2019-01-04 06:00,2019-01-04 07:00,0,0,0,-1.843
2019-01-04 07:00,2019-01-04 08:00,0,0.001,0.004,-1.286
2019-01-04 08:00,2019-01-04 09:00,0.010,0.001,0.019,-0.621
2019-01-04 09:00,2019-01-04 10:00,0.023,0.002,0.035,0.040
